strategy,model_type,f1,precision,recall,auprc,mcc,f2,ap_at_50,ap_at_100,ap_at_200,typ_coverage,typ_wf1,specificity,fpr,false_positives,n_test_fraud,threshold,client_equity,worst_bank_f1,best_bank_f1,collab_gain,n_eval_banks,n_banks_with_fraud,total_test_fraud,dataset,alpha
fedavg,fl,0.0,0.0,0.0,0.1233,0.0,0.0,0.005,0.0025,0.0025,0.0,0.0,1.0,0.0,0.0,13598.25,0.3875,0.0,0.0,0.0,-0.2127,4,2,54393,HI-Large,0.05
fedprox,fl,0.0,0.0,0.0,0.0757,0.0,0.0,0.01,0.0075,0.01,0.0,0.0,1.0,0.0,0.0,13598.25,0.3875,0.0,0.0,0.0,-0.2127,4,2,54393,HI-Large,0.05
fednova,fl,0.0,0.0,0.0,0.0604,0.0,0.0,0.01,0.0075,0.01,0.0,0.0,1.0,0.0,0.0,13598.25,0.3875,0.0,0.0,0.0,-0.2127,4,2,54393,HI-Large,0.05
persfl,fl,0.21,0.1977,0.224,0.2088,0.1966,0.2182,0.245,0.2325,0.2313,0.0833,0.052,0.9807,0.0193,3220.0,13598.25,0.4,0.3638,0.0,0.8402,-0.0027,4,2,54393,HI-Large,0.05
scaffold,fl,0.0,0.0,0.0,0.0586,0.0,0.0,0.01,0.0075,0.01,0.0,0.0,1.0,0.0,0.0,13598.25,0.3875,0.0,0.0,0.0,-0.2127,4,2,54393,HI-Large,0.05
fedavgm,fl,0.0,0.0,0.0,0.1223,0.0,0.0,0.01,0.0075,0.0075,0.0,0.0,1.0,0.0,0.0,13598.25,0.3875,0.0,0.0,0.0,-0.2127,4,2,54393,HI-Large,0.05
xgb,local_expert,0.2127,0.1962,0.4822,0.2218,0.2005,0.224,0.25,0.2475,0.2475,0.3333,0.0535,0.2293,0.7707,144085.25,13598.25,0.5,0.3684,0.0,0.8509,,4,2,54393,HI-Large,0.05
lgbm,local_expert,0.2127,0.1963,0.4822,0.2218,0.2005,0.224,0.25,0.2475,0.2475,0.3333,0.0535,0.2293,0.7707,144084.0,13598.25,0.5,0.3684,0.0,0.8509,,4,2,54393,HI-Large,0.05
catboost,local_expert,0.2118,0.1941,0.483,0.2218,0.1993,0.224,0.25,0.2475,0.2475,0.3333,0.086,0.2281,0.7719,144277.25,13598.25,0.4875,0.3668,0.0,0.847,,4,2,54393,HI-Large,0.05
rf,local_expert,0.2123,0.1952,0.4828,0.2211,0.2,0.2241,0.25,0.2475,0.2475,0.2917,0.0525,0.2287,0.7713,144183.75,13598.25,0.4875,0.3677,0.0,0.8492,,4,2,54393,HI-Large,0.05
lr,local_expert,0.2092,0.1902,0.4824,0.2019,0.1959,0.2225,0.24,0.2375,0.2362,0.2917,0.0525,0.2262,0.7738,144598.0,13598.25,0.5625,0.3623,0.0,0.8368,,4,2,54393,HI-Large,0.05
moe_static,moe,0.2125,0.1957,0.2325,0.219,0.2002,0.2241,0.23,0.23,0.2325,0.0417,0.0525,0.979,0.021,3509.75,13598.25,0.4375,0.3681,0.0,0.8501,-0.0002,4,2,54393,HI-Large,0.05
moe_performance,moe,0.2125,0.1955,0.2326,0.2191,0.2002,0.2241,0.23,0.23,0.2338,0.0417,0.0525,0.9789,0.0211,3524.25,13598.25,0.4875,0.368,0.0,0.8498,-0.0003,4,2,54393,HI-Large,0.05
moe_confidence,moe,0.2123,0.1952,0.2327,0.2188,0.2,0.2241,0.23,0.23,0.2325,0.0417,0.0525,0.9787,0.0213,3556.5,13598.25,0.425,0.3677,0.0,0.8492,-0.0004,4,2,54393,HI-Large,0.05
moe_typology_aware,moe,0.2121,0.1942,0.2336,0.2188,0.1998,0.2245,0.215,0.225,0.23,0.0833,0.0944,0.9781,0.0219,3652.5,13598.25,0.475,0.3674,0.0,0.8484,-0.0006,4,2,54393,HI-Large,0.05
moe_confidence_aware,moe,0.2125,0.1957,0.2325,0.219,0.2002,0.2241,0.23,0.23,0.2325,0.0417,0.0525,0.979,0.021,3509.75,13598.25,0.4375,0.3681,0.0,0.8501,-0.0002,4,2,54393,HI-Large,0.05
moe_expert_choice,moe,0.2125,0.1957,0.2325,0.219,0.2002,0.2241,0.23,0.23,0.2325,0.0417,0.0525,0.979,0.021,3509.75,13598.25,0.4375,0.3681,0.0,0.8501,-0.0002,4,2,54393,HI-Large,0.05
moe_multi_gate,moe,0.2125,0.1957,0.2325,0.219,0.2002,0.2241,0.23,0.23,0.2325,0.0417,0.0525,0.979,0.021,3509.75,13598.25,0.4375,0.3681,0.0,0.8501,-0.0002,4,2,54393,HI-Large,0.05
