strategy,model_type,f1,precision,recall,auprc,mcc,f2,ap_at_50,ap_at_100,ap_at_200,typ_coverage,typ_wf1,specificity,fpr,false_positives,n_test_fraud,threshold,client_equity,worst_bank_f1,best_bank_f1,collab_gain,n_eval_banks,n_banks_with_fraud,total_test_fraud,dataset,alpha
fedavg,fl,0.2175,0.2261,0.2131,0.2308,0.1997,0.2144,0.49,0.485,0.4637,0.4792,0.2729,0.9696,0.0304,650.0,772.5,0.1625,0.2193,0.0,0.4748,-0.0175,4,2,3090,ieee_cis,0.05
fedprox,fl,0.2101,0.1848,0.2506,0.2403,0.1906,0.2317,0.495,0.485,0.4688,0.4792,0.3336,0.9526,0.0474,1012.5,772.5,0.1625,0.2133,0.0,0.4724,-0.025,4,2,3090,ieee_cis,0.05
fednova,fl,0.0519,0.4648,0.0275,0.1807,0.1087,0.0339,0.47,0.4375,0.4012,0.2159,0.0291,0.9998,0.0002,5.0,772.5,0.1625,0.0531,0.0,0.12,-0.1831,4,2,3090,ieee_cis,0.05
persfl,fl,0.2058,0.164,0.2766,0.2521,0.1865,0.2431,0.5,0.4875,0.475,0.4792,0.3462,0.959,0.041,876.5,772.5,0.2125,0.207,0.0,0.4428,-0.0292,4,2,3090,ieee_cis,0.05
scaffold,fl,0.0519,0.4648,0.0275,0.1807,0.1087,0.0339,0.47,0.4375,0.4012,0.2159,0.0291,0.9998,0.0002,5.0,772.5,0.1625,0.0531,0.0,0.12,-0.1831,4,2,3090,ieee_cis,0.05
fedavgm,fl,0.2358,0.3006,0.1957,0.239,0.228,0.2098,0.49,0.485,0.47,0.4792,0.2521,0.9825,0.0175,373.5,772.5,0.1625,0.237,0.0,0.5055,0.0007,4,2,3090,ieee_cis,0.05
xgb,local_expert,0.2258,0.1702,0.335,0.2817,0.2135,0.2807,0.49,0.4825,0.4688,0.5,0.4023,0.4536,0.5464,11677.0,772.5,0.325,0.2268,0.0,0.4823,,4,2,3090,ieee_cis,0.05
lgbm,local_expert,0.2351,0.1831,0.3296,0.2847,0.2214,0.2837,0.5,0.475,0.4688,0.5,0.3964,0.4577,0.5423,11589.25,772.5,0.325,0.2354,0.0,0.4876,,4,2,3090,ieee_cis,0.05
catboost,local_expert,0.2241,0.1717,0.3225,0.2757,0.2101,0.2743,0.485,0.485,0.4688,0.5,0.4009,0.4559,0.5441,11627.5,772.5,0.3,0.2254,0.0,0.4833,,4,2,3090,ieee_cis,0.05
rf,local_expert,0.2052,0.1453,0.3489,0.2702,0.196,0.2725,0.495,0.4875,0.4688,0.4792,0.4011,0.4387,0.5613,11996.25,772.5,0.4625,0.2057,0.0,0.4316,,4,2,3090,ieee_cis,0.05
lr,local_expert,0.1926,0.136,0.3301,0.2096,0.1811,0.2567,0.275,0.3025,0.3187,0.4792,0.3846,0.437,0.563,12033.5,772.5,0.5375,0.1942,0.0,0.4207,,4,2,3090,ieee_cis,0.05
moe_static,moe,0.2313,0.1779,0.3327,0.2906,0.2189,0.2827,0.495,0.4925,0.48,0.4792,0.39,0.9518,0.0482,1031.0,772.5,0.2125,0.2337,0.0,0.5104,-0.0038,4,2,3090,ieee_cis,0.05
moe_performance,moe,0.2416,0.1924,0.3252,0.292,0.2275,0.2856,0.495,0.4925,0.4813,0.4792,0.3849,0.7134,0.2866,6125.0,772.5,0.2375,0.2431,0.0,0.5205,0.0066,4,2,3090,ieee_cis,0.05
moe_confidence,moe,0.2104,0.1499,0.3565,0.2898,0.2031,0.2785,0.495,0.4925,0.48,0.4792,0.4051,0.9357,0.0643,1375.25,772.5,0.1875,0.2143,0.0,0.4781,-0.0246,4,2,3090,ieee_cis,0.05
moe_typology_aware,moe,0.2631,0.206,0.3645,0.3187,0.2534,0.3158,0.49,0.4875,0.4775,0.4792,0.4041,0.7134,0.2866,6125.0,772.5,0.2375,0.2643,0.0,0.5615,0.0281,4,2,3090,ieee_cis,0.05
moe_confidence_aware,moe,0.2495,0.2206,0.2888,0.2872,0.2323,0.2714,0.495,0.4925,0.48,0.4792,0.3596,0.9714,0.0286,612.25,772.5,0.2125,0.252,0.0,0.5495,0.0145,4,2,3090,ieee_cis,0.05
moe_expert_choice,moe,0.2431,0.1943,0.3246,0.2874,0.2288,0.2862,0.495,0.4825,0.475,0.5,0.4017,0.9552,0.0448,957.75,772.5,0.2125,0.2446,0.0,0.5256,0.008,4,2,3090,ieee_cis,0.05
moe_multi_gate,moe,0.2261,0.1692,0.3423,0.2912,0.2153,0.2837,0.495,0.4925,0.48,0.4792,0.3956,0.9469,0.0531,1135.25,772.5,0.2125,0.2283,0.0,0.497,-0.0089,4,2,3090,ieee_cis,0.05
